hour,weekday_trips,weekend_trips,total_trips
0,19165,22195,41360
1,10227,15727,25954
2,5652,9116,14768
3,3842,5024,8866
4,5812,3230,9042
5,29076,4721,33797
6,89052,10711,99763
7,173750,20168,193918
8,209201,36896,246097
9,124393,56420,180813
10,103996,76067,180063
11,127643,89498,217141
12,151674,98508,250182
13,153167,100333,253500
14,158325,99867,258192
15,201252,101267,302519
16,291371,98022,389393
17,347479,88943,436422
18,260787,75979,336766
19,177449,58637,236086
20,123025,42563,165588
21,92841,34340,127181
22,67309,30313,97622
23,41659,21380,63039
